isbn,title,author,price,language,num_pages,date,rating,num_rating,category 1,category 2,category 3
9780142407547,The Gruffalo's Child,Julia Donaldson,639.85,English,32,01 Mar 2007,4.34,8885,Picture Books,Children's Fiction,Children's General Story Books
9781250316776,"Red, White & Royal Blue : A Novel",Casey McQuiston,695.59,English,432,14 May 2019,4.2,467591,Adult & Contemporary Romance,Adult & Contemporary Romance
9780007420124,The Art of War,Sun Tzu,593.94,English,112,14 Oct 2011,3.97,392479,Contemporary Fiction,Classic Books & Novels,Crime
9781444775815,A Man Called Ove : The life-affirming bestseller that will brighten your day,Fredrik Backman,647.79,English,320,07 May 2015,4.36,728098,Contemporary Fiction,Fiction In Translation,Age Groups: The Elderly
9780811204811,No Longer Human,Osamu Dazai,702.71,English,176,01 Jan 2020,4.14,51150,Contemporary Fiction,Classic Books & Novels
9780571333134,Conversations with Friends : Soon to be a BBC Three Drama,Sally Rooney,674.99,English,336,01 Mar 2018,3.83,245769,Contemporary Fiction
9781408890042,Circe : The No. 1 Bestseller from the author of The Song of Achilles,Madeline Miller,683.79,English,352,24 Apr 2019,4.26,614659,Contemporary Fiction,Fantasy,Fantasy Books
9780141039282,The Help,Kathryn Stockett,618.51,English,464,13 May 2010,4.46,2412844,Contemporary Fiction
9781451690316,Fahrenheit 451,Ray Bradbury,654.57,English,158,23 May 2012,3.98,1972078,Contemporary Fiction,Classic Books & Novels,Science Fiction
9781408855652,Harry Potter and the Philosopher's Stone,J.K. Rowling,658.04,English,352,01 Sep 2014,4.48,8326816,Fantasy,Fantasy Books,Children's General Story Books
9780345409874,Women Who Run with the Wolves : Myths and Stories of the Wild Woman Archetype,Clarissa Pinkola Estés,674.29,English,608,01 Jan 1997,4.11,59572,Literary Studies: General,Society & Social Sciences,"Folklore, Myths & Legends"
9781785763670,The Tattooist of Auschwitz : the heart-breaking and unforgettable international bestseller,Heather Morris,609.72,English,352,18 Oct 2018,4.27,657326,Historical Fiction
9781838770013,The Beekeeper of Aleppo : The must-read million copy bestseller,Christy Lefteri,658.79,English,400,01 Apr 2020,4.2,85217,Contemporary Fiction
9781844285136,Don't Let the Pigeon Drive the Bus!,Mo Willems,660.33,English,40,22 Jul 2011,4.3,89409,Picture Books,Children's Fiction,Animal Stories
9780099477464,Brave New World,Aldous Huxley,663.06,English,288,02 Sep 2004,3.99,1613779,Contemporary Fiction,Classic Books & Novels,Classic Science Fiction
9780316769488,The Catcher in the Rye,J. D. Salinger,650.09,English,224,18 Mar 2005,3.81,3061427,Language Teaching & Learning Material & Coursework,Contemporary Fiction,Classic Books & Novels
9780330523622,The Man Who Mistook His Wife for a Hat,Oliver Sacks,655.55,English,272,02 Sep 2011,4.06,189596,Literary Essays,Literary Studies: General,"Physiological & Neuro-psychology, Biopsychology"
9781442408937,Aristotle and Dante Discover the Secrets of the Universe,Benjamin Alire Sáenz,705.8,English,384,25 Feb 2015,4.35,399465,Children's Fiction,Children's General Story Books,Family
9780349142920,Little Fires Everywhere,Celeste Ng,657.66,English,352,22 May 2018,4.09,936436,Contemporary Fiction,Thriller Books,Thrillers
9780006479888,A Game of Thrones : Book 1 of A Song of Ice and Fire,George R. R. Martin,670.04,English,864,01 Mar 2009,4.44,2205411,Contemporary Fiction,Adventure Books,Science Fiction
9781780722405,The 8-week Blood Sugar Diet : Lose weight and reprogramme your body,Dr Michael Mosley,656.16,English,272,17 Dec 2015,3.87,3404,Diabetes,Diets & Dieting
9781408876985,Fantastically Great Women Who Changed The World,Ms Kate Pankhurst,657.0,English,32,08 Sep 2016,4.47,942,Picture Books,Non-Fiction,General Knowledge
9783314015441,The Rainbow Fish,Marcus Pfister,653.46,English,25,01 Jul 2012,4.19,134995,Picture Books,Children's Fiction,Animal Stories
9781471407277,The Cruel Prince (The Folk of the Air),Holly Black,647.97,English,400,26 Jul 2018,4.1,539206,Children's General Story Books,Fantasy Books for Kids,Family Issues
9780920668375,Love You Forever,Robert Munsch,640.56,English,32,01 Sep 1995,4.36,219698,Children's Fiction,Classic Books for Children,Children's General Story Books
9781594746031,Miss Peregrine's Home for Peculiar Children,Ransom Riggs,675.87,English,384,04 Jun 2013,3.91,1113794,Horror,Horror,Children's General Story Books
9781780622286,Six of Crows : Book 1,Leigh Bardugo,663.35,English,512,02 Jun 2016,4.49,613241,Romance,Romance Books,Children's Fiction
9780749942014,Sister : The phenomenal Sunday Times and New York Times bestseller,Rosamund Lupton,651.03,English,384,02 Sep 2010,3.77,51328,Contemporary Fiction,Crime,Crime Fiction
9780571258093,Never Let Me Go,Kazuo Ishiguro,673.79,English,282,01 Feb 2010,3.84,556030,Contemporary Fiction,Science Fiction,Science Fiction
9780340903179,The Huge Bag of Worries,Virginia Ironside,630.18,English,32,06 Jan 2011,4.39,602,Picture Books,Storybooks,Children's Fiction
9780061233845,Alchemist International Edition,Paulo Coelho,642.23,English,208,01 Oct 2006,3.89,2479111,Contemporary Fiction,English Language: Reading & Writing Skills
9780316486231,The Invisible String,Patrice Karst,661.35,English,40,06 Dec 2018,4.47,2212,Children's Fiction,Children's General Story Books,Family
