isbn,title,author,price,language,num_pages,date,rating,num_rating,category 1,category 2,category 3
9780571258093,Never Let Me Go,Kazuo Ishiguro,676.6,English,282,01 Feb 2010,3.84,556030,Contemporary Fiction,Science Fiction,Science Fiction
9780340903179,The Huge Bag of Worries,Virginia Ironside,632.82,English,32,06 Jan 2011,4.39,602,Picture Books,Storybooks,Children's Fiction
9780061233845,Alchemist International Edition,Paulo Coelho,645.14,English,208,01 Oct 2006,3.89,2473897,Contemporary Fiction,English Language: Reading & Writing Skills
9780316486231,The Invisible String,Patrice Karst,664.11,English,40,06 Dec 2018,4.47,2203,Children's Fiction,Children's General Story Books,Family
9780330519021,Room,Emma Donoghue,653.88,English,416,07 Jan 2011,4.07,762696,Contemporary Fiction,Crime,Crime Fiction
9780008115272,We Should All Be Feminists,Chimamanda Ngozi Adichie,636.12,English,64,14 Dec 2015,4.43,230961,Literary Essays,Literary Theory,Society & Social Sciences
9780446310789,To Kill a Mockingbird,Harper Lee,663.74,English,288,05 May 2010,4.27,5170369,Classic Books & Novels,Political & Legal,Political & Legal
9780141313825,The Dinosaur's Diary,Julia Donaldson,633.29,English,112,28 Mar 2002,3.99,189,Children's Fiction,Children's General Story Books,Adventure Books for Kids
9780349139630,The Goldfinch,Donna Tartt,681.37,English,912,19 Jun 2014,3.92,803368,Contemporary Fiction
9781408832332,Throne of Glass,Sarah J. Maas,678.23,English,416,26 Feb 2015,4.19,796034,Fantasy,Fantasy Books,Adventure Books for Kids
9780752265629,The Mindfulness Colouring Book : Anti-stress Art Therapy for Busy People,Emma Farrarons,648.95,English,112,24 Apr 2015,4,412,Art Techniques & Principles,"Creative Therapy (eg Art, Music, Drama)",Coping With Stress
9780753557525,Elon Musk : How the Billionaire CEO of SpaceX and Tesla is Shaping our Future,Ashlee Vance,644.84,English,416,01 Mar 2016,4.21,309963,Biography: General,Biography: Business & Industry,"Biography: Science, Technology & Engineering"
9781840224306,Crime and Punishment : With selected excerpts from the Notebooks for Crime and Punishment,Fyodor Dostoevsky,609.93,English,528,05 May 2000,4.24,729753,Classic Books & Novels,Historical Fiction,Fiction In Translation
9780349142111,The Dry : THE ABSOLUTELY COMPELLING INTERNATIONAL BESTSELLER,Jane Harper,655.75,English,432,01 Jun 2017,4.04,196490,Contemporary Fiction,Crime,Crime Fiction
9780007548699,All the Light We Cannot See,Anthony Doerr,686.92,English,544,07 May 2015,4.32,1252179,Contemporary Fiction,World War 2 Fiction,Historical Fiction
9781473635302,Born A Crime : Stories from a South African Childhood,Trevor Noah,659.74,English,304,21 Sep 2017,4.48,526397,Biography: Arts & Entertainment,Autobiography: Arts & Entertainment,Prose: Non-fiction
9781780723044,The Clever Guts Diet : How to Revolutionise Your Body from the Inside Out,Michael Mosley,659.42,English,288,18 May 2017,3.9,4433,Dietetics & Nutrition,"Biology, Life Sciences",Popular Medicine & Health
9781447279808,The 26-Storey Treehouse,Andy Griffiths,618.07,English,352,07 May 2015,4.29,5996,Children's Fiction,Children's General Story Books,Adventure Books for Kids
9781444910865,Oi Frog!,Kes Gray,639.98,English,32,05 Feb 2015,4.27,2492,Picture Books,Storybooks,Activity Books
9781846685828,"Being Mortal : Illness, Medicine and What Matters in the End",Atul Gawande,675.82,English,304,02 Jul 2015,4.46,154988,Medical,Public Health & Preventive Medicine,Science: General Issues
9780007371082,Billionaire Boy,David Walliams,651.41,English,288,09 Jun 2011,4.18,13012,Children's Fiction,Children's General Story Books,Adventure Books for Kids
9781409150725,Red Queen : Red Queen Book 1,Victoria Aveyard,681.48,English,416,16 Jul 2015,4.04,759002,Contemporary Fiction,Fantasy,Fantasy Books
9780007150342,How to Catch a Star,Oliver Jeffers,661.98,English,32,03 May 2005,4.21,6751,Picture Books,Baby Books,Children's Fiction
9781407109367,Catching Fire,Suzanne Collins,725.49,English,448,07 Sep 2009,4.3,2913423,Contemporary Fiction,Adventure Books for Kids,Sci Fi Books for Kids
9781471116148,The Perks of Being a Wallflower,Stephen Chbosky,657.23,English,240,11 Jan 2013,4.21,1469709,Contemporary Fiction,Children's General Story Books
9780099448822,Norwegian Wood,Haruki Murakami,676.83,English,400,04 Jul 2003,4.03,444566,Contemporary Fiction,Fiction In Translation,English Language: Reading & Writing Skills
